exer;outre_mer;reg_code;reg_name;dep_code;dep_name;epci_code;epci_name;tranche_population;rural;montagne;touristique;tranche_revenu_imposable_par_habitant;qpv;com_code;com_name;categ;siren;insee;lbudg;agregat;montant_bp;montant_ba;montant_flux;montant;montant_en_millions;ptot;euros_par_habitant;presence_budget;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;ptot_n
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200067635;Communauté d'agglomération Clisson Sèvre et Maine Agglo;4;Oui;Non;Non;2;Non;44037;Château-Thébaud;Commune;214400376;44037;CHATEAU-THEBAUD;Achats et charges externes;546779.59;1785.12;0.0;548564.71;0.54856471;3059;179.3281170317097;1;;;;;3;;;;;;2017;3346
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200067346;Communauté d'agglomération Pornic Agglo Pays de Retz;4;Oui;Non;Non;1;Non;44038;Chauvé;Commune;214400384;44038;CHAUVE;Achats et charges externes;570744.85;0.0;0.0;570744.85;0.57074485;2737;208.52935696017536;1;;;;;3;;;;;;2017;3038
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200067346;Communauté d'agglomération Pornic Agglo Pays de Retz;3;Oui;Non;Non;2;Non;44039;Cheix-en-Retz;Commune;214400392;44039;CHEIX-EN-RETZ;Achats et charges externes;214680.03;855.34;0.0;215535.37;0.21553537;1023;210.68951124144672;1;;;;;3;;;;;;2017;1177
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400438;Communauté de communes Grand Lieu Communauté;6;Non;Non;Non;2;Non;44041;La Chevrolière;Commune;214400418;44041;CHEVROLIERE (LA );Achats et charges externes;1178690.6;0.0;0.0;1178690.6;1.1786906000000001;5417;217.59102824441575;1;;;;;3;;;;;;2017;6236
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200067635;Communauté d'agglomération Clisson Sèvre et Maine Agglo;6;Non;Non;Oui;2;Non;44043;Clisson;Commune;214400434;44043;CLISSON;Achats et charges externes;1692267.91;653251.34;0.0;2345519.25;2.34551925;7056;332.41485969387753;1;;;;;3;;;;;;2017;7741
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;243500741;Communauté d'agglomération Redon Agglomération;3;Oui;Non;Non;1;Non;44044;Conquereuil;Commune;214400442;44044;CONQUEREUIL;Achats et charges externes;219356.65;17076.13;0.0;236432.78;0.23643278;1100;214.9388909090909;1;;;;;3;;;;;;2017;1104
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;200072734;Communauté de communes Estuaire et Sillon;5;Oui;Non;Non;2;Non;44045;Cordemais;Commune;214400459;44045;CORDEMAIS;Achats et charges externes;1567134.92;36016.0;0.0;1603150.92;1.60315092;3627;442.0046650124069;1;;;;;3;;;;;;2017;3927
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400586;Communauté de communes du Sud Estuaire;4;Oui;Non;Non;2;Non;44046;Corsept;Commune;214400467;44046;CORSEPT;Achats et charges externes;392326.17;0.0;0.0;392326.17;0.39232617;2760;142.14716304347826;1;;;;;3;;;;;;2017;2687
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400404;Nantes Métropole;8;Non;Non;Non;2;Non;44047;Couëron;Commune;214400475;44047;COUERON;Achats et charges externes;4068401.07;5072.0;0.0;4073473.07;4.0734730699999995;20517;198.5413593605303;1;;;;;3;;;;;;2017;23329
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;4;Oui;Non;Non;1;Non;44048;Couffé;Commune;214400483;44048;COUFFE;Achats et charges externes;493589.81;0.0;0.0;493589.81;0.49358981;2504;197.12053115015974;1;;;;;3;;;;;;2017;2585
2017;Non;52;Pays de la Loire;44;Loire-Atlantique;244400610;Communauté d'agglomération de la Presqu'île de Guérande Atlantique (Cap Atlantique);5;Non;Non;Oui;3;Non;44049;Le Croisic;Commune;214400491;44049;CROISIC (LE );Achats et charges externes;1845697.96;383211.46;4000.0;2224909.42;2.22490942;4106;541.8678567949343;1;;;;;3;;;;;;2017;4170
