exer;outre_mer;reg_code;reg_name;dep_code;dep_name;epci_code;epci_name;tranche_population;rural;montagne;touristique;tranche_revenu_imposable_par_habitant;qpv;com_code;com_name;categ;siren;insee;ident;lbudg;type_de_budget;nomen;agregat;montant;montant_en_millions;ptot;euros_par_habitant;presence_budget;cbudg;ordre_analyse1_section1;ordre_analyse1_section2;ordre_analyse1_section3;ordre_analyse2_section1;ordre_analyse2_section2;ordre_analyse2_section3;ordre_analyse3_section1;ordre_analyse3_section2;ordre_analyse3_section3;ordre_analyse4_section1;annee_join;ptot_n
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;6;Non;Non;Non;1;Non;44180;Vallons-de-l'Erdre;Commune;200078079;44180;2,00078E+13;LA COLOMBIERE;Budget annexe;M14;Dépenses de fonctionnement;66925.6;0.0669256;6676;10.024805272618336;1;3;;4;;;1;2;;;;;2020;6664
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;6;Non;Non;Non;1;Non;44180;Vallons-de-l'Erdre;Commune;200078079;44180;2,00078E+13;LOTISSEMENT LES PERRIERES VALLON ERDRE;Budget annexe;M14;Dépenses de fonctionnement;67009.46;0.06700946;6676;10.037366686638707;1;3;;4;;;1;2;;;;;2020;6664
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;6;Non;Non;Non;1;Non;44180;Vallons-de-l'Erdre;Commune;200078079;44180;2,00078E+13;LOTISSEMENT LES LILAS;Budget annexe;M14;Dépenses de fonctionnement;422.0;0.000422;6676;0.06321150389454763;1;3;;4;;;1;2;;;;;2020;6664
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;7;Non;Non;Non;2;Non;44003;Ancenis-Saint-Géréon;Commune;200083228;44003;2,00083E+13;ANCENIS-SAINT-GEREON;Budget principal;M14;Dépenses de fonctionnement;10595299.68;10.59529968;11184;947.3622746781116;1;1;;4;;;1;2;;;;;2020;11488
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;7;Non;Non;Non;2;Non;44003;Ancenis-Saint-Géréon;Commune;200083228;44003;2,00083E+13;CAT ANCENIS-SAINT-GEREON;Budget annexe;M14;Dépenses de fonctionnement;17262.37;0.01726237;11184;1.5434880185979971;1;3;;4;;;1;2;;;;;2020;11488
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;7;Non;Non;Non;2;Non;44003;Ancenis-Saint-Géréon;Commune;200083228;44003;2,00083E+13;LOT LA CHAUVINIERE ANCENIS-ST-GEREON;Budget annexe;M14;Dépenses de fonctionnement;13744.24;0.01374424;11184;1.2289198855507868;1;3;;4;;;1;2;;;;;2020;11488
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;7;Non;Non;Non;2;Non;44003;Ancenis-Saint-Géréon;Commune;200083228;44003;2,00083E+13;SPECTACLE ET EXPO ANCENIS ST GEREON;Budget annexe;M14;Dépenses de fonctionnement;621191.12;0.62119112;11184;55.542839771101576;1;3;;4;;;1;2;;;;;2020;11488
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;7;Non;Non;Non;2;Non;44003;Ancenis-Saint-Géréon;Commune;200083228;44003;2,00083E+13;LOT DU CLOS MARTIN ANCENIS-ST-GEREON;Budget annexe;M14;Dépenses de fonctionnement;0.0;0.0;11184;0.0;1;3;;4;;;1;2;;;;;2020;11488
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400552;Communauté de communes du Pays d'Ancenis;7;Non;Non;Non;2;Non;44003;Ancenis-Saint-Géréon;Commune;200083228;44003;2,00083E+13;PANNX PHOTOVOLTAIQUES ANCENIS ST GERE;Budget annexe;M4;Dépenses de fonctionnement;2112.44;0.00211244;11184;0.18888054363376253;1;3;;4;;;1;2;;;;;2020;11488
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400537;Communauté de communes de Nozay;4;Oui;Non;Non;1;Non;44001;Abbaretz;Commune;214400012;44001;2,144E+13;ABBARETZ;Budget principal;M14;Dépenses de fonctionnement;1051879.72;1.05187972;2115;497.34265721040185;1;1;;4;;;1;2;;;;;2020;2083
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400537;Communauté de communes de Nozay;4;Oui;Non;Non;1;Non;44001;Abbaretz;Commune;214400012;44001;2,144E+13;ASST ABBARETZ;Budget annexe;M49A;Dépenses de fonctionnement;37561.45;0.037561449999999996;2115;17.759550827423165;1;3;;4;;;1;2;;;;;2020;2083
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;200067635;Communauté d'agglomération Clisson Sèvre et Maine Agglo;5;Non;Non;Non;2;Non;44002;Aigrefeuille-sur-Maine;Commune;214400020;44002;2,144E+13;AIGREFEUILLE-SUR-MAINE;Budget principal;M14;Dépenses de fonctionnement;2265234.91;2.26523491;4043;560.2856566905764;1;1;;4;;;1;2;;;;;2020;4210
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;200067635;Communauté d'agglomération Clisson Sèvre et Maine Agglo;5;Non;Non;Non;2;Non;44002;Aigrefeuille-sur-Maine;Commune;214400020;44002;2,144E+13;CELLULES COMMERCIALES AIGREFEUILLE;Budget annexe;M14;Dépenses de fonctionnement;139357.88;0.13935788000000002;4043;34.468929013109076;1;3;;4;;;1;2;;;;;2020;4210
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400610;Communauté d'agglomération de la Presqu'île de Guérande Atlantique (Cap Atlantique);3;Oui;Non;Non;2;Non;44006;Assérac;Commune;214400061;44006;2,144E+13;ASSERAC;Budget principal;M14;Dépenses de fonctionnement;1648592.77;1.64859277;1822;904.8258891328211;1;1;;4;;;1;2;;;;;2020;1926
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;243500741;Communauté d'agglomération Redon Agglomération;4;Oui;Non;Non;1;Non;44007;Avessac;Commune;214400079;44007;2,144E+13;AVESSAC;Budget principal;M14;Dépenses de fonctionnement;1684553.32;1.68455332;2530;665.8313517786562;1;1;;4;;;1;2;;;;;2020;2514
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;243500741;Communauté d'agglomération Redon Agglomération;4;Oui;Non;Non;1;Non;44007;Avessac;Commune;214400079;44007;2,144E+13;LOCATIF AVESSAC;Budget annexe;M14;Dépenses de fonctionnement;6124.01;0.00612401;2530;2.4205573122529644;1;3;;4;;;1;2;;;;;2020;2514
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;243500741;Communauté d'agglomération Redon Agglomération;4;Oui;Non;Non;1;Non;44007;Avessac;Commune;214400079;44007;2,144E+13;ASST AVESSAC;Budget annexe;M49A;Dépenses de fonctionnement;0.0;0.0;2530;0.0;1;3;;4;;;1;2;;;;;2020;2514
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400404;Nantes Métropole;6;Non;Non;Non;3;Non;44009;Basse-Goulaine;Commune;214400095;44009;2,144E+13;BASSE-GOULAINE;Budget principal;M14;Dépenses de fonctionnement;6685453.92;6.68545392;9268;721.3480707811825;1;1;;4;;;1;2;;;;;2020;9772
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400610;Communauté d'agglomération de la Presqu'île de Guérande Atlantique (Cap Atlantique);4;Non;Non;Oui;3;Non;44010;Batz-sur-Mer;Commune;214400103;44010;2,144E+13;BATZ-SUR-MER;Budget principal;M14;Dépenses de fonctionnement;4217588.88;4.21758888;2981;1414.8235088896342;1;1;;4;;;1;2;;;;;2020;2901
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400610;Communauté d'agglomération de la Presqu'île de Guérande Atlantique (Cap Atlantique);4;Non;Non;Oui;3;Non;44010;Batz-sur-Mer;Commune;214400103;44010;2,144E+13;OFFICE DE TOURISME BATZ-SUR-MER;Budget annexe;M14;Dépenses de fonctionnement;44994.9;0.044994900000000004;2981;15.09389466621939;1;3;;4;;;1;2;;;;;2020;2901
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;200067346;Communauté d'agglomération Pornic Agglo Pays de Retz;4;Non;Non;Oui;2;Non;44012;La Bernerie-en-Retz;Commune;214400129;44012;2,144E+13;BERNERIE-EN-RETZ (LA);Budget principal;M14;Dépenses de fonctionnement;2527555.7;2.5275557;3016;838.0489721485412;1;1;;4;;;1;2;;;;;2020;3407
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400644;Communauté d'agglomération de la Région Nazairienne et de l'Estuaire (CARENE);4;Oui;Non;Non;2;Non;44013;Besné;Commune;214400137;44013;2,144E+13;BESNE;Budget principal;M14;Dépenses de fonctionnement;2281509.8;2.2815098;3086;739.3097213220998;1;1;;4;;;1;2;;;;;2020;3326
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400644;Communauté d'agglomération de la Région Nazairienne et de l'Estuaire (CARENE);4;Oui;Non;Non;2;Non;44013;Besné;Commune;214400137;44013;2,144E+13;VENTE ENERGIE BESNE;Budget annexe;M4;Dépenses de fonctionnement;6039.56;0.00603956;3086;1.9570836033700585;1;3;;4;;;1;2;;;;;2020;3326
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400438;Communauté de communes Grand Lieu Communauté;5;Non;Non;Non;2;Non;44014;Le Bignon;Commune;214400145;44014;2,144E+13;BIGNON (LE);Budget principal;M14;Dépenses de fonctionnement;3167186.15;3.16718615;3839;825.002904402188;1;1;;4;;;1;2;;;;;2020;4026
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400438;Communauté de communes Grand Lieu Communauté;5;Non;Non;Non;2;Non;44014;Le Bignon;Commune;214400145;44014;2,144E+13;ENERGIES RENOUVELBLES LE BIGNON;Budget annexe;M4;Dépenses de fonctionnement;499.2;0.0004992;3839;0.13003386298515238;1;3;;4;;;1;2;;;;;2020;4026
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400453;Communauté de communes Pays de Blain Communauté;7;Non;Non;Non;1;Non;44015;Blain;Commune;214400152;44015;2,144E+13;BLAIN;Budget principal;M14;Dépenses de fonctionnement;7387565.43;7.3875654299999995;9963;741.5000933453779;1;1;;4;;;1;2;;;;;2020;10360
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400453;Communauté de communes Pays de Blain Communauté;7;Non;Non;Non;1;Non;44015;Blain;Commune;214400152;44015;2,144E+13;ASST BLAIN;Budget annexe;M49;Dépenses de fonctionnement;462200.61;0.46220061;9963;46.391710328214394;1;3;;4;;;1;2;;;;;2020;10360
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400453;Communauté de communes Pays de Blain Communauté;7;Non;Non;Non;1;Non;44015;Blain;Commune;214400152;44015;2,144E+13;PORT FLUVIAL BLAIN;Budget annexe;M4;Dépenses de fonctionnement;0.0;0.0;9963;0.0;1;3;;4;;;1;2;;;;;2020;10360
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;200067866;Communauté de communes Sèvre et Loire;3;Oui;Non;Non;1;Non;44016;La Boissière-du-Doré;Commune;214400160;44016;2,144E+13;BOISSIERE-DU-DORE (LA );Budget principal;M14;Dépenses de fonctionnement;749942.55;0.7499425500000001;1064;704.8332236842106;1;1;;4;;;1;2;;;;;2020;1116
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400404;Nantes Métropole;6;Non;Non;Non;2;Non;44018;Bouaye;Commune;214400186;44018;2,144E+13;BOUAYE;Budget principal;M14;Dépenses de fonctionnement;6753817.94;6.75381794;7997;844.54394647993;1;1;;4;;;1;2;;;;;2020;8281
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;200072734;Communauté de communes Estuaire et Sillon;3;Oui;Non;Non;2;Non;44019;Bouée;Commune;214400194;44019;2,144E+13;BOUEE;Budget principal;M14;Dépenses de fonctionnement;566096.8;0.5660968000000001;1005;563.2803980099503;1;1;;4;;;1;2;;;;;2020;1084
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400404;Nantes Métropole;8;Non;Non;Non;2;Non;44020;Bouguenais;Commune;214400202;44020;2,144E+13;BOUGUENAIS;Budget principal;M14;Dépenses de fonctionnement;21391573.38;21.39157338;19609;1090.905878933143;1;1;;4;;;1;2;;;;;2020;20732
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400404;Nantes Métropole;8;Non;Non;Non;2;Non;44020;Bouguenais;Commune;214400202;44020;2,144E+13;POMPES FUNEBRES BOUGUENAIS;Budget annexe;M4;Dépenses de fonctionnement;16249.25;0.01624925;19609;0.8286628588913254;1;3;;4;;;1;2;;;;;2020;20732
2020;Non;52;Pays de la Loire;44;Loire-Atlantique;244400404;Nantes Métropole;8;Non;Non;Non;2;Non;44020;Bouguenais;Commune;214400202;44020;2,144E+13;SSIAD BOUGUENAIS;Budget annexe;M22;Dépenses de fonctionnement;492155.62;0.49215562;19609;25.098455811107144;1;3;;4;;;1;2;;;;;2020;20732
